,Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
0,August,1,0:00,6.254521213507665,0.052215105425932,0.0083483777004648,336.51562,34.86607439688263,0.6038551354816599,0.0173192751385756,336.51562,80.16449395266599,0.4883940284863978,0.0060923983225637,336.51562,47.06127198773507,0.382781556453212,0.0081336848811262,336.51562
1,August,1,0:30,4.778372125326913,0.0398916552956022,0.0083483777004648,336.51562,24.36274557222421,0.4219450936964678,0.0173192751385756,336.51562,52.901568347932624,0.3222974262639387,0.0060923983225637,336.51562,32.18504973225964,0.2617830524055774,0.0081336848811262,336.51562
2,August,1,1:00,3.562367391622664,0.0297399884930859,0.0083483777004649,345.86328,10.760986183105862,0.1863724804676219,0.0173192751385756,345.86328,41.37564088803702,0.2520768851412787,0.0060923983225637,336.51562,24.318225211373207,0.1977967807375699,0.0081336848811262,336.51562
3,August,1,1:30,2.959426020735,0.0247064061976796,0.0083483777004648,355.21094,6.497315400968579,0.11252879309148,0.0173192751385756,355.21094,28.672335678754163,0.1746832897932279,0.0060923983225637,345.86328,18.38002030032903,0.1494972932315801,0.0081336848811262,345.86328
4,August,1,2:00,2.1957075300320845,0.0183305957804627,0.0083483777004648,364.5586,4.821978557308629,0.0835131733463404,0.0173192751385756,355.21094,18.44596863333171,0.1123801883597745,0.0060923983225637,355.21094,12.648126597541228,0.1028758760809921,0.0081336848811262,355.21094
5,August,1,2:30,1.6471393208569916,0.0137509411758014,0.0083483777004649,364.5586,3.510023263383101,0.0607910586413332,0.0173192751385756,364.5586,19.956765224725565,0.1215845629789175,0.0060923983225637,355.21094,9.758940209606704,0.0793761444386932,0.0081336848811262,355.21094
6,August,1,3:00,1.820217701854986,0.0151958648721576,0.0083483777004648,373.90625,3.830605099264535,0.0663433036613935,0.0173192751385756,364.5586,13.208231256664414,0.0804698059521369,0.0060923983225637,364.5586,3.1818568553477418,0.0258802209982499,0.0081336848811262,364.5586
7,August,1,3:30,1.7976366627617382,0.0150073498289382,0.0083483777004648,364.5586,3.5546737923298046,0.0615643734372441,0.0173192751385756,364.5586,16.41095260256857,0.0999820601075627,0.0060923983225637,364.5586,1.2908470214159549,0.0104993429019378,0.0081336848811262,355.21094
8,August,1,4:00,1.5229444817786288,0.0127141157507267,0.0083483777004649,364.5586,2.462121404955004,0.0426421580369922,0.0173192751385756,364.5586,13.470055065109667,0.0820649408835161,0.0060923983225637,355.21094,1.147940365205908,0.0093369851929098,0.0081336848811262,355.21094
9,August,1,4:30,1.5813644192815608,0.0132018274542388,0.0083483777004648,355.21094,3.227686468728024,0.0559011900129584,0.0173192751385756,355.21094,15.117464249459204,0.0921016138348234,0.0060923983225637,355.21094,1.0674267641704676,0.0086821129334428,0.0081336848811262,345.86328
10,August,1,5:00,1.6122720263564458,0.0134598558319175,0.0083483777004648,355.21094,2.647753097768847,0.0458571643992747,0.0173192751385756,355.21094,17.523906624576423,0.1067626193243339,0.0060923983225637,345.86328,1.861011141127048,0.0151368781821926,0.0081336848811262,336.51562
