Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,6.254521213507665,0.05221510542593205,0.008348377700464898,349.14947714469025,34.86607439688263,0.6038551354816599,0.017319275138575695,317.84331477157116,80.16449395266599,0.4883940284863978,0.006092398322563795,346.4338139831489,47.06127198773507,0.38278155645321205,0.008133684881126271,332.34504443838426
August,1,0:30,4.778372125326913,0.03989165529560227,0.008348377700464898,343.32335982074534,24.36274557222421,0.4219450936964678,0.017319275138575695,278.11279545466607,52.901568347932624,0.3222974262639387,0.006092398322563796,311.31188145055296,32.18504973225964,0.2617830524055774,0.008133684881126271,302.279580150953
August,1,1:00,3.562367391622664,0.02973998849308596,0.0083483777004649,302.85815502705896,10.760986183105862,0.18637248046762192,0.017319275138575695,397.05022174062424,41.37564088803702,0.25207688514127874,0.006092398322563796,318.99268304453307,24.318225211373207,0.19779678073756998,0.008133684881126271,385.78308015251423
August,1,1:30,2.959426020735,0.024706406197679647,0.008348377700464898,331.26130523108793,6.497315400968579,0.11252879309148008,0.017319275138575695,276.94205284378455,28.672335678754163,0.17468328979322795,0.006092398322563797,303.4358139543421,18.38002030032903,0.14949729323158018,0.008133684881126271,321.0443684609601
August,1,2:00,2.1957075300320845,0.018330595780462717,0.008348377700464898,256.58405384447155,4.821978557308629,0.08351317334634044,0.017319275138575695,359.75347080944726,18.44596863333171,0.11238018835977451,0.006092398322563797,316.40944834456525,12.648126597541228,0.10287587608099215,0.008133684881126271,332.63557688175945
August,1,2:30,1.6471393208569916,0.013750941175801407,0.0083483777004649,354.5898659968615,3.5100232633831014,0.06079105864133328,0.017319275138575695,387.0982999341641,19.956765224725565,0.12158456297891751,0.006092398322563795,329.13497161251064,9.758940209606703,0.07937614443869329,0.008133684881126271,322.27320923952556
August,1,3:00,1.820217701854986,0.015195864872157632,0.008348377700464898,236.97816512173924,3.8306050992645346,0.06634330366139354,0.017319275138575698,267.0440189645966,13.208231256664414,0.08046980595213696,0.006092398322563795,318.33549873294834,3.1818568553477418,0.02588022099824991,0.008133684881126271,402.9010774819897
August,1,3:30,1.7976366627617382,0.015007349828938234,0.008348377700464898,184.43908266828728,3.5546737923298046,0.06156437343724417,0.017319275138575695,358.74186923024854,16.41095260256857,0.09998206010756272,0.006092398322563796,280.56363682143484,1.2908470214159549,0.010499342901937832,0.008133684881126271,257.4505451540128
August,1,4:00,1.5229444817786288,0.012714115750726777,0.0083483777004649,274.7077575673056,2.462121404955004,0.04264215803699226,0.017319275138575695,285.3979692387195,13.470055065109669,0.08206494088351611,0.006092398322563796,286.2156095866651,1.147940365205908,0.009336985192909864,0.008133684881126271,275.5843299274076
August,1,4:30,1.5813644192815608,0.013201827454238806,0.008348377700464898,315.42407683289906,3.227686468728024,0.05590119001295844,0.017319275138575695,220.4916538804657,15.117464249459204,0.0921016138348234,0.006092398322563796,314.5881173363936,1.0674267641704676,0.00868211293344287,0.008133684881126271,428.2916293633671
